neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,distance_to_nearest_stn
3,32,1.39042,103.90796,1,4.672828834,2,0,0,358,-1.379400012
0,4,1.27804,103.80806,2,4.382026635,1,0,0,0,-0.189336502
3,33,1.3448,103.86144,1,4.204692619,1,62,1.098612289,84,-0.209344373
1,1,1.32899,103.94787,1,4.787491743,4,47,2.197224577,90,-1.332158265
3,33,1.38785,103.8694,2,4.382026635,84,9,0,88,-0.119068729
0,10,1.29561,103.8543,2,5.192956851,7,57,3.713572067,365,-1.251620202
0,11,1.31017,103.88253,1,4.094344562,1,80,3.663561646,336,-0.823769489
0,4,1.2843,103.83254,2,5.192956851,2,14,0,0,-0.432446098
0,15,1.30706,103.86326,1,4.86753445,100,6,0.693147181,365,-2.833215261
0,11,1.31528,103.88817,2,4.477336814,9,24,4.304065093,75,-0.685136313
0,24,1.28272,103.84707,1,5.068904202,180,0,0,365,-1.9321697
0,39,1.34151,103.84163,1,4.317488114,3,16,2.995732274,299,-0.724965296
0,10,1.28895,103.85033,2,5.010635294,7,167,3.713572067,364,-0.855501679
0,11,1.30972,103.88266,1,4.094344562,1,79,3.663561646,346,-0.943286822
0,15,1.31118,103.85591,1,4.007333185,18,2,4.564348191,329,-1.455279213
0,29,1.29702,103.84145,1,4.787491743,2,1,0,0,-0.808997191
0,11,1.31368,103.88597,2,4.442651256,5,59,4.304065093,86,-0.78054684
4,8,1.37986,103.75087,1,3.63758616,180,0,0.693147181,0,-1.414998411
0,11,1.31316,103.88735,2,4.553876892,15,76,4.521788577,80,-0.602117116
0,2,1.36,103.8319,1,3.912023005,180,29,0,364,0.407656055
0,11,1.31161,103.88143,1,4.48863637,2,87,3.663561646,356,-0.584181369
1,1,1.31387,103.93484,2,5.123963979,4,8,1.386294361,326,0.217456903
0,28,1.30489,103.78451,1,4.382026635,1,2,0,0,-0.421690293
0,29,1.29238,103.83978,2,5.66296048,4,3,0,0,-0.681232175
0,11,1.31307,103.88623,2,4.787491743,10,27,4.521788577,90,-0.643368412
0,11,1.31464,103.88642,2,4.442651256,4,92,4.521788577,73,-0.821592809
0,11,1.3145,103.88607,2,4.553876892,6,80,4.521788577,86,-0.883987355
0,11,1.32962,103.88684,1,3.891820298,1,0,0,0,-0.733474693
0,29,1.29887,103.83603,1,5.010635294,1,0,0,365,-0.988920234
0,11,1.31102,103.88139,1,4.094344562,1,50,3.663561646,365,-0.602791581
0,11,1.3096,103.88166,1,4.094344562,1,65,3.663561646,365,-0.947747327
